 train         node "P(0)" "P(1)" observed predicted
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          439  0.02272 0.97728 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          436  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y           26  0.04356 0.95644 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          436  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          439  0.02272 0.97728 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           12  0.53880 0.46120 "1" "0"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          439  0.02272 0.97728 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          436  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.04356 0.95644 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          436  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          438  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y            2  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          438  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y          439  0.04185 0.95815 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y            7  0.98100 0.01900 "1" "0"
     y          436  0.00000 1.00000 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     n           26  0.00000 1.00000 "NA" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          436  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y           12  0.44441 0.55559 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y            2  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          437  0.00717 0.23656 "NA" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y           26  0.00000 1.00000 "1" "1"
     n           26  0.03988 0.96012 "NA" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y            2  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     n          439  0.02272 0.97728 "NA" "1"
     y          439  0.02649 0.97351 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     n           26  0.00000 1.00000 "NA" "1"
     y          436  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           12  0.90556 0.09444 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y          437  0.00717 0.23656 "0" "1"
     y          438  1.00000 0.00000 "0" "0"
     n            7  0.98571 0.01429 "NA" "0"
     y            7  0.98191 0.01809 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y          436  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     n           26  0.03915 0.96085 "NA" "1"
     y          438  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     n            2  1.00000 0.00000 "NA" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y           55  1.00000 0.00000 "0" "0"
     y            7  0.97946 0.02054 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            7  0.97946 0.02054 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     y            7  0.98191 0.01809 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y           55  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y           12  0.99737 0.00263 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y          437  0.00717 0.23656 "0" "1"
     n          436  1.00000 0.00000 "NA" "0"
     y          438  1.00000 0.00000 "0" "0"
     y            7  0.98191 0.01809 "0" "0"
     y           55  1.00000 0.00000 "0" "0"
     y          439  0.99306 0.00694 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     n            2  1.00000 0.00000 "NA" "0"
     y          438  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     n            2  1.00000 0.00000 "NA" "0"
     n            7  0.98571 0.01429 "NA" "0"
     n          438  0.06810 0.00717 "NA" "0"
     y            7  0.98191 0.01809 "0" "0"
     y            7  0.98100 0.01900 "0" "0"
     y           12  0.90556 0.09444 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.97946 0.02054 "0" "0"
     y          436  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y            7  0.98191 0.01809 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     n           55  1.00000 0.00000 "NA" "0"
     y            7  0.97946 0.02054 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y           55  1.00000 0.00000 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     n           26  1.00000 0.00000 "NA" "0"
     y            7  0.98191 0.01809 "0" "0"
     n          438  1.00000 0.00000 "NA" "0"
     y          438  1.00000 0.00000 "0" "0"
     y            7  0.97946 0.02054 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     n            7  0.98100 0.01900 "NA" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            7  0.98191 0.01809 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            7  0.98191 0.01809 "0" "0"
     y            7  0.98100 0.01900 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y          108  1.00000 0.00000 "0" "0"
     y            7  0.97946 0.02054 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y           12  0.98855 0.01145 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y           55  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            7  0.98571 0.01429 "0" "0"
     y            2  1.00000 0.00000 "0" "0"
     y            7  0.97946 0.02054 "0" "0"
     y            7  0.97946 0.02054 "0" "0"
     y          439  1.00000 0.00000 "0" "0"
     y           26  0.06630 0.93370 "0" "1"
     y            7  0.98191 0.01809 "0" "0"
     y          436  1.00000 0.00000 "0" "0"
     y           12  0.44622 0.55378 "0" "1"
     n            7  0.98571 0.01429 "NA" "0"
     n          438  0.06810 0.00717 "NA" "0"
     y           12  0.90556 0.09444 "0" "0"
     n            2  1.00000 0.00000 "NA" "0"
     y            7  0.98191 0.01809 "0" "0"
     y           26  1.00000 0.00000 "0" "0"
     y          436  0.51829 0.48171 "0" "0"
     y           26  0.06630 0.93370 "0" "1"
     y            7  0.98571 0.01429 "0" "0"
     y          438  1.00000 0.00000 "0" "0"
     y           55  1.00000 0.00000 "0" "0"
